Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density
259,0,0,0,0,0,0,0,0,10,50.62575295,8.633333333,10,10,4.82E-06
260,0,0,0,0,0,0,0,0,10,54.21176063,8.666666667,10,10,4.82E-06
261,0,1,0,0,0,0,1,0,10,51.87636678,8.7,11,11,5.30E-06
262,0,0,0,1,0,0,0,1,10,52.48401831,8.733333333,11,10,4.82E-06
263,0,0,0,0,0,0,0,0,11,55.44546291,8.766666667,11,11,5.30E-06
264,0,0,0,0,0,0,0,0,11,39.25655834,8.8,11,11,5.30E-06
265,0,1,0,0,0,0,1,0,11,33.91902804,8.833333333,12,12,5.79E-06
266,0,0,0,1,0,0,0,1,11,30.04320799,8.866666667,12,11,5.30E-06
267,0,0,0,0,0,0,0,0,12,50.48025159,8.9,12,12,5.79E-06
268,0,0,0,0,0,0,0,0,12,52.35114066,8.933333333,12,12,5.79E-06
269,0,1,0,0,0,0,1,0,12,37.3567657,8.966666667,13,13,6.27E-06
270,0,0,0,1,0,0,0,1,12,37.14010413,9,13,12,5.79E-06
271,0,0,0,0,0,0,0,0,13,39.53398321,9.033333333,13,13,6.27E-06
272,0,0,0,0,0,0,0,0,13,58.2777113,9.066666667,13,13,6.27E-06
273,0,0,0,0,0,0,0,0,13,50.31694837,9.1,13,13,6.27E-06
274,0,0,0,0,0,0,0,0,13,32.38272293,9.133333333,13,13,6.27E-06
275,0,0,0,0,0,0,0,0,13,39.72161899,9.166666667,13,13,6.27E-06
276,0,0,0,0,0,0,0,0,13,30.7258362,9.2,13,13,6.27E-06
277,0,0,0,0,0,0,0,0,13,34.19319907,9.233333333,13,13,6.27E-06
278,0,0,0,0,0,0,0,0,13,55.1749569,9.266666667,13,13,6.27E-06
279,0,0,0,0,0,0,0,0,13,34.17012995,9.3,13,13,6.27E-06
280,0,0,0,0,0,0,0,0,13,54.48436251,9.333333333,13,13,6.27E-06
281,0,0,1,0,1,0,0,0,12,55.53860517,9.366666667,13,12,5.79E-06
282,0,0,0,0,0,0,0,0,12,38.16560187,9.4,12,12,5.79E-06
283,0,0,0,0,0,0,0,0,12,41.35310742,9.433333333,12,12,5.79E-06
284,0,0,0,0,0,0,0,0,12,30.42767746,9.466666667,12,12,5.79E-06
285,0,1,0,0,0,0,1,0,12,52.02828183,9.5,13,13,6.27E-06
286,0,1,0,1,0,0,1,1,12,36.19546357,9.533333333,14,13,6.27E-06
287,0,0,0,1,0,0,0,1,13,51.94857013,9.566666667,14,13,6.27E-06
288,0,0,0,0,0,0,0,0,14,49.61838524,9.6,14,14,6.75E-06
289,0,0,0,0,0,0,0,0,14,59.02162882,9.633333333,14,14,6.75E-06
290,0,0,0,0,0,0,0,0,14,48.41985912,9.666666667,14,14,6.75E-06
291,0,0,0,0,0,0,0,0,14,43.45954628,9.7,14,14,6.75E-06
292,0,0,0,0,0,0,0,0,14,49.42894949,9.733333333,14,14,6.75E-06
293,0,0,0,0,0,0,0,0,14,45.2370592,9.766666667,14,14,6.75E-06
294,0,0,0,0,0,0,0,0,14,38.02759055,9.8,14,14,6.75E-06
295,0,0,0,0,0,0,0,0,14,42.39586752,9.833333333,14,14,6.75E-06
296,0,0,0,0,0,0,0,0,13,42.77123514,9.866666667,13,13,6.27E-06
297,0,0,0,0,0,0,0,0,13,57.25709825,9.9,13,13,6.27E-06
298,0,0,0,0,0,0,0,0,13,33.10239324,9.933333333,13,13,6.27E-06
299,0,0,0,0,0,0,0,0,13,57.5200228,9.966666667,13,13,6.27E-06
300,0,0,0,0,0,0,0,0,13,49.82697646,10,13,13,6.27E-06
301,0,0,0,0,0,0,0,0,13,54.52727474,10.03333333,13,13,6.27E-06
302,0,0,0,0,0,0,0,0,13,53.10539336,10.06666667,13,13,6.27E-06
303,0,1,0,0,0,0,1,0,12,46.97499574,10.1,13,13,6.27E-06
304,0,0,0,1,0,0,0,1,12,56.83036369,10.13333333,13,12,5.79E-06
305,0,0,0,0,0,0,0,0,13,52.94271958,10.16666667,13,13,6.27E-06
306,0,0,0,0,0,0,0,0,13,43.78910062,10.2,13,13,6.27E-06
307,0,0,0,0,0,0,0,0,13,48.54654894,10.23333333,13,13,6.27E-06
308,0,0,0,0,0,0,0,0,13,57.99050958,10.26666667,13,13,6.27E-06
309,0,0,0,0,0,0,0,0,12,42.27259813,10.3,12,12,5.79E-06
310,0,0,0,0,0,0,0,0,12,46.122102,10.33333333,12,12,5.79E-06
311,0,0,0,0,0,0,0,0,12,43.63869063,10.36666667,12,12,5.79E-06
